wikipedia_id,freebase_id,name,release_date,box_office,genres,imdb_id
11250635,/m/02r52hc,The Mechanical Monsters,1941,,"{""/m/06n90"": ""Science Fiction"", ""/m/03k9fj"": ""Adventure"", ""/m/0hcr"": ""Animation"", ""/m/02hmvc"": ""Short Film"", ""/m/01hmnh"": ""Fantasy"", ""/m/0hqxf"": ""Family Film"", ""/m/02kdv5l"": ""Action""}",tt0033888
31137877,/m/0gh7n22,Boadicea,1927,,"{""/m/07s9rl0"": ""Drama"", ""/m/03hn0"": ""Historical drama"", ""/m/082gq"": ""War film""}",tt0018713
27374355,/m/0by1_ff,Les Indiens sont encore loin,1977,,"{""/m/07s9rl0"": ""Drama""}",tt0074681
29766415,/m/0fp_syp,Donald's Crime,1945,,"{""/m/02hmvc"": ""Short Film""}",tt0037657
28415406,/m/0crj1f3,The Last Trackers of the Outback,2007,,"{""/m/0jtdp"": ""Documentary""}",tt1829750
21373150,/m/05fb20v,Mighty Mouse in the Great Space Chase,1982,,"{""/m/0hj3myq"": ""Children's/Family""}",tt0191280
10792038,/m/02qq3mb,Ethe Naasaval,1980,,"{""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama""}",
11717027,/m/02rpz18,Is There a Doctor in the Mouse?,,,"{""/m/0hqxf"": ""Family Film"", ""/m/01z4y"": ""Comedy""}",tt0058239
10628777,/m/02qkn7c,Peddarayudu,1995,,"{""/m/07s9rl0"": ""Drama""}",tt0305952
18902861,/m/04jfr7g,14 Going on 30,,,"{""/m/02l7c8"": ""Romance Film"", ""/m/0hj3n2s"": ""Fantasy Comedy"", ""/m/01hmnh"": ""Fantasy"", ""/m/01z4y"": ""Comedy""}",tt0094592
25790807,/m/09v6_q1,Sons of Cuba,2009,,"{""/m/01z02hx"": ""Sports"", ""/m/0hj3n07"": ""Culture & Society"", ""/m/0jtdp"": ""Documentary""}",tt1391122
32972053,/m/0h541q3,Broken Chains,1922,,"{""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama"", ""/m/03k9fj"": ""Adventure""}",tt0012980
32839744,/m/0h3wy16,Digger,,,{},
30658112,/m/0g9wcrn,The Seamstress,1936,,"{""/m/05p553"": ""Comedy film""}",tt0152714
33956317,/m/0hndjzb,The Catastrophe,2011,,"{""/m/02hmvc"": ""Short Film"", ""/m/07s9rl0"": ""Drama""}",tt2032545
30693170,/m/0g9z2v0,Harumi,,,"{""/m/0jtdp"": ""Documentary""}",tt1581302
254465,/m/01lqzr,World Record,2003,,"{""/m/02hmvc"": ""Short Film"", ""/m/06n90"": ""Science Fiction"", ""/m/0hcr"": ""Animation""}",
28649243,/m/0cz8rml,Martha,1974,,"{""/m/07s9rl0"": ""Drama""}",
33870773,/m/0hnbsyf,Parie,2012,,"{""/m/02l7c8"": ""Romance Film""}",tt13979430
31156816,/m/0gh6h9x,Jalothsavam,2004,,"{""/m/0hqxf"": ""Family Film"", ""/m/07s9rl0"": ""Drama""}",
17960503,/m/047t_lv,A Father for Brittany,,,"{""/m/07s9rl0"": ""Drama""}",
20365034,/m/04zyk2s,Mera ur kärlekens språk,1970,,"{""/m/0jtdp"": ""Documentary""}",tt0066071
8955475,/m/027r3dp,Hurricane!,,,"{""/m/0jtdp"": ""Documentary""}",
24364162,/m/07s81gr,Nidhiyude Katha,1986,,{},tt3588012
240088,/m/01jtxq,In Living Color,,,{},tt0098830
